Version,K,Dataset_Size,Avg_Iterations,Avg_Time_Sec
CUDA,2,4810772,8.0,0.433013
CUDA,3,4810772,33.0,0.555276
CUDA,4,4810772,30.0,0.583038
CUDA,6,4810772,44.0,0.750527
CUDA,7,4810772,73.0,1.035637
CUDA,9,4810772,52.0,0.855322
CUDA,11,4810772,35.0,0.693285
CUDA,13,4810772,77.0,1.074827
